height_m,volts,inH20,pa,mps
0.0004445,-0.032,0.0653009331057043,16.2350097184871,5.14841124191699
0.000762,-0.027,0.0803974365657541,19.98827737842,5.71261080859546
0.0010795,-0.019,0.104551842101834,25.9935056343127,6.51447438753247
0.001397,-0.016,0.113609744177864,28.2454662302724,6.79080605720464
0.0017145,-0.012,0.125686946945903,31.2480803582187,7.14263775185573
0.002032,-0.011,0.128706247637913,31.9987338902053,7.22792022930189
0.0023495,-0.009,0.134744849021933,33.5000409541785,7.39553543801835
0.002667,-0.013,0.122667646253894,30.4974268262322,7.05632462882185
0.0029845,-0.007,0.140783450405953,35.0013480181517,7.55943503106013
0.003302,-0.009,0.134744849021933,33.5000409541785,7.39553543801835
0.0036195,-0.007,0.140783450405953,35.0013480181517,7.55943503106013
0.003937,-0.005,0.146822051789973,36.5026550821248,7.7198556698071
0.0042545,-0.004,0.149841352481983,37.2533086141114,7.79882865240477
0.004572,-0.001,0.158899254558013,39.5052692100712,8.03108950954478
0.0048895,-0.001,0.158899254558013,39.5052692100712,8.03108950954478
0.005207,0,0.161918555250023,40.2559227420577,8.10703123820534
0.0055245,0,0.161918555250023,40.2559227420577,8.10703123820534
0.005842,0.004,0.173995758018063,43.2585368700041,8.40393851981942
0.0061595,0.011,0.195130862862133,48.5131115939102,8.89972359982728
0.006477,0.006,0.180034359402083,44.7598439339772,8.5485259676004
0.0067945,0.009,0.189092261478113,47.011804529937,8.7609341156916
0.007112,0.006,0.180034359402083,44.7598439339772,8.5485259676004
0.0074295,0.007,0.183053660094093,45.5104974659638,8.61991026668232
0.007747,0.011,0.195130862862133,48.5131115939102,8.89972359982728
0.0080645,0.01,0.192111562170123,47.7624580619236,8.83060152913751
0.008382,0.013,0.201169464246152,50.0144186578833,9.03638167228213
0.0086995,0.011,0.195130862862133,48.5131115939102,8.89972359982728
0.009017,0.014,0.204188764938162,50.7650721898699,9.10394148235111
0.0093345,0.013,0.201169464246152,50.0144186578833,9.03638167228213
0.009652,0.011,0.195130862862133,48.5131115939102,8.89972359982728
0.0099695,0.015,0.207208065630172,51.5157257218565,9.17100361470816
0.010287,0.015,0.207208065630172,51.5157257218565,9.17100361470816
0.0106045,0.016,0.210227366322182,52.2663792538431,9.23757890834536
0.010922,0.019,0.219285268398212,54.5183398498028,9.43448644329185
0.0112395,0.017,0.213246667014192,53.0170327858296,9.30367781443575
0.011557,0.018,0.216265967706202,53.7676863178162,9.36931041548634
0.0118745,0.019,0.219285268398212,54.5183398498028,9.43448644329185
0.012192,0.019,0.219285268398212,54.5183398498028,9.43448644329185
0.0125095,0.018,0.216265967706202,53.7676863178162,9.36931041548634
0.012827,0.019,0.219285268398212,54.5183398498028,9.43448644329185
0.0131445,0.021,0.225323869782232,56.019646913776,9.56350605282871
0.013462,0.022,0.228343170474242,56.7703004457626,9.62736749113735
0.0137795,0.024,0.234381771858262,58.2716075097357,9.75383608552256
0.014097,0.022,0.228343170474242,56.7703004457626,9.62736749113735
0.0144145,0.023,0.231362471166252,57.5209539777491,9.69080809820962
0.014732,0.025,0.237401072550272,59.0222610417223,9.81645940093264
0.0150495,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.015367,0.025,0.237401072550272,59.0222610417223,9.81645940093264
0.0156845,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.016002,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.0163195,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.016637,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.0169545,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.017272,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.0175895,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.017907,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.0182245,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.018542,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.0188595,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.019177,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.0194945,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.019812,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.0201295,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.020447,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.0207645,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.021082,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.0213995,0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.021717,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.0220345,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.022352,0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.0226695,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.022987,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.0233045,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.023622,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.0239395,0.028,0.246458974626302,61.2742216376821,10.001977081103
0.024257,0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.0245745,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.024892,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.0252095,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.025527,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.0258445,0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.026162,0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.0264795,0.03,0.252497576010322,62.7755287016552,10.1237670412126
