delta_m,deltaStar_m,theta_m,hShape,tau0_pa,cfTau,cfRe,deltaRe_m,deltaDiff
0.008382,0.0010467306879193,0.000829561198034154,1.26178838933135,0.848835018672579,0.0134574964798202,0.00251893508350587,0.00189678846649538,341.904837996357
0.010922,0.00124683570350736,0.000998312671974724,1.24894308016851,0.804713443824982,0.0127733596248194,0.0554354472243417,0.00715416920260085,52.6662242770185
0.012827,0.0016932539974943,0.00132269674636435,1.28015284089002,0.789458467931398,0.0125610050733876,0.0511296036108701,0.00989772394223938,29.5954511850919
0.0163195,0.00214523429146769,0.00166228881926677,1.29053042203216,0.741813662813226,0.0118170931532949,0.0482766083386814,0.0124605840441732,30.9689814068655
0.0163195,0.00251847206825134,0.00195284034707864,1.28964565486311,0.725236827699961,0.0115532704841093,0.0461695535133295,0.0148959201369019,9.55684408894895
